Kategori_Cyberbullying,Text_Preprocessed,Text_Tweet
Body Shaming & Kondisi Fisik,teman yg spekuensi klo mna gtu,Pasti teman nya yg spekuensi.... KLO orang lain mna ada gtu
Body Shaming & Kondisi Fisik,yahudi kuntet,Yahudi kuntet
Body Shaming & Kondisi Fisik,usaha kuntet culas doyan serobot tanah sah rakyat sulawesi selatan,Pengusaha Kuntet Yang Culas Doyan Serobot Tanah Sah Rakyat Kecil Sulawesi Selatan
Body Shaming & Kondisi Fisik,sakit kalo tabok tangan enteng bgt kuntet,Sakit kalo kena tabok dia mana tangannya enteng bgt walau kuntet
Body Shaming & Kondisi Fisik,udh kuntet ga moral lg,Udh kuntet ga bermoral pula lg 
Body Shaming & Kondisi Fisik,yampuunn nanem kelengkeng tabulampot aja udh tahun kuntet kak wkwkw,Yampuunn aku nanem kelengkeng tabulampot aja udh 2 tahun kuntet kak wkwkw
Body Shaming & Kondisi Fisik,cebol chiyori bawah kuntet,"Cebol , chiyori dibawah 145? Kuntet dong"
Body Shaming & Kondisi Fisik,islam serang narasi fitnah islamophobia kuntet de houtman dkk liberal salib meutia faradila hanyur dkk nambah wahabi yg narasi bikin pecah satu islam narasi yg untung zionisemirat salib,"Jadi orang islam :
Tiap hari diserang narasi fitnah
Islamophobia seperti kuntet de houtman dkk 
liberal salibis seperti meutia faradila dan hanyur dkk
Nambah wahabi2 yg tiap hari narasi2nya bikin pecah persatuan islam dengan narasi2 yg menguntungkan zionis,emirat dan salibis."
Body Shaming & Kondisi Fisik,cek biar dapet ilmu kuntet numbalin nyawa warga hasil tumbal diserahin guru mbah gulung alhasil warga anakanak tinggal misterius curiga ama si kuntet,"setelah di cek ternyata, biar dapet ilmu itu, Kuntet harus numbalin nyawa warga dan hasil tumbalnya itu bakalan diserahin ke Gurunya, Mbah Gulung. alhasil, banyak warga terutama anak-anak meninggal secara misterius. makanya, banyak yang curiga ama si Kuntet ini."
Body Shaming & Kondisi Fisik,hasil haram si kuntet orkay hidup serba mevvah red flag istri nyi syariah ama anak bayu dikucilin ama warga gegara kerja bapak singkat cerita emaknya si bayu curiga suami orkay malam,"dari hasil kerja haramnya itu, si Kuntet jadi orkay dan hidup serba mevvah tapi red flag bagi istrinya, Nyi Syariah ama anaknya, Bayu yang dikucilin ama warga sekitar gegara kerjaan bapaknya. singkat cerita, emaknya si Bayu curiga sama suaminya yang bisa jadi orkay dalam semalam."
Body Shaming & Kondisi Fisik,kafir satanic the real og horor versi remake film tuh meranin sudjiwo tedjo ama meriam bellina film tuh cerita kuntet si dukun santet ken kaya raya jalur instan alias sekutu ama setan,"1. Kafir (Satanic)

The real OG Horor! ini bukan versi remake yang 2018, ya. di film ini tuh yang meranin Sudjiwo Tedjo ama Meriam Bellina. film ini tuh menceritakan tentang Kuntet, si dukun santet yang pengen kaya raya lewat jalur instan alias bersekutu ama setan."
Body Shaming & Kondisi Fisik,rill si kuntet najib to kak,Itu rill si kuntet najib to kak?
Body Shaming & Kondisi Fisik,disapora negeri tetangga makan embege pantes kuntet,Jadi disapora ke negeri tetangga tapi makannya embege. Pantes kuntet terus..
Body Shaming & Kondisi Fisik,wkwk ngapain infak lol lol tolol badan dah kuntet otak dangkal,"""Wkwk ngapain infak lol"" lol = tolol

badan dah kuntet, otak dangkal pula"
Body Shaming & Kondisi Fisik,dah panggil dek muluu gegara kuntet cm,"Aku dah bapak2 tapi dipanggil dek muluu
Gegara kuntet 162cm"
Body Shaming & Kondisi Fisik,taambah panas si kuntet singapur,Taambah kepanasan si kuntet singapur
Body Shaming & Kondisi Fisik,rill pikat pesona pria ceking berskimny jeans,rill terpikat pesona pria ceking berskimny jeans
Body Shaming & Kondisi Fisik,iya segitu ceking banget nget,Iya sama saya segitu ceking banget nget
Body Shaming & Kondisi Fisik,model sprti wota sok pek lg ceking loser,"Mana modelannya sprti wota sok sepek pada umumnya lg, ceking dan loser"
Body Shaming & Kondisi Fisik,males banget si namyong ceking plis,"Males banget sama si namyong ceking, plis balik "
Body Shaming & Kondisi Fisik,perut ceking bgt yah ituh,"perut #kenyang tapi kok aku ceking bgt yah kala ituh,,"
Body Shaming & Kondisi Fisik,lu idiot laler ceking,Lu idiot laler ceking
Body Shaming & Kondisi Fisik,yeee si ceking mulut lu sampah bgt sumpah,"yeee si ceking, mulut lu sampah bgt sumpah "
Body Shaming & Kondisi Fisik,brisik ceking,brisik ceking
Body Shaming & Kondisi Fisik,obeng ceking kak dipakein baju si bengi terkam beliau diledekin iyalagi ledek napsu liat tete kambing drpd tete lu ntu benggggg ttp puja sih bengi diam buset ken cubit," obeng kan ceking ya kak, dipakein baju itu kira2 si bengi akan tetap menerkam beliau atau malah diledekin??
 IYALAGI BAKAL DILEDEK. lebih napsu liat tete kambing drpd tete lu ntu benggggg!!

cuma ya bakal ttp dipuja2 sih sama bengi TAPI DALAM DIAM buset pengen cubit."
Body Shaming & Kondisi Fisik,baca gadis minimarket teeus ketemu kalimat lakilaki rawa ceking kawat hanger wkwkwkwk kawat hanger kawat hanger pikir gue lgsg bayang hanger besi yg karat udah ga simetris bentuk,"baca gadis minimarket teeus ketemu kalimat ""seorang laki-laki berperawakan ceking seperti kawat hanger"" WKWKWKWK KAWAT HANGER KENAPA KAWAT HANGER  di pikiran gue lgsg terbayang hanger besi yg karatan dan udah ga simetris bentuknya"
Body Shaming & Kondisi Fisik,boneka ceking isa deh hahha,Mau boneka ceking Isa deh hahha
Body Shaming & Kondisi Fisik,stop ngablunya tuking kau tukang ceking,stop ngablunya  tuking kau kata aku tukang ceking ya
Body Shaming & Kondisi Fisik,akibat bodoh bangsa masif sistematik struktur si ceking paras ndeso si gembrot paras idiot npdisease hancur bangsa,Inilah akibat pembodohan bangsa secara masif sistematik dan terstruktur dari sejak si ceking berparas ndeso sampai si gembrot berparas idiot NPDisease.... Hancur bangsa ini
Body Shaming & Kondisi Fisik,ceking anjing,CEKING ANJING
Body Shaming & Kondisi Fisik,ceking hps gk,YANG CEKING HPS GK
Body Shaming & Kondisi Fisik,kemaren mikir ambil permpoon ceking banget trs tbtb gembuull ak bgt,kemaren aku mikir mau ambil permpoon karena dia ceking banget TRS TBTB JADI GEMBUULL AK MAU BGT
Body Shaming & Kondisi Fisik,waktu daftar ceking bodygoals,"Waktu daftar,,, masih Ceking,, masih bodygoals... "
Body Shaming & Kondisi Fisik,mimpi naek motor beat karbu mberr ceking minghao xixi bonceng gitu cerita jemput blio mimpi minghao bau kesang wkwk tetep nemplok belakang hahaha,"3. Mimpi naek motor beat karbu mberr ceking sama minghao xixi, dibonceng gitu sama dia, ceritanya saya dijemput blio, mana dimimpi minghao bau kesang wkwk tapi saya tetep nemplok dibelakang dia hahaha"
Body Shaming & Kondisi Fisik,sagapung lu ceking,sagapung lu ceking
Body Shaming & Kondisi Fisik,rill pantad tepos hati full senang,rill pantad tepos namun hati full senang
Body Shaming & Kondisi Fisik,tepos gemeshin kalo ud polos wkwk,Tepos itu gemeshin kalo  ud polos wkwk
Body Shaming & Kondisi Fisik,anak pantat tepos belah kah,Kenapa anakku . Pantatmu tepos sebelah kah
Body Shaming & Kondisi Fisik,luwuk pagimana pagimana bualemo bualemo luwuk luwuk batu batu luwuk tepos pantatkuu,"Luwuk - pagimana
pagimana - bualemo
bualemo - luwuk
luwuk - batui
batui - luwuk

Tepos pantatkuu"
Body Shaming & Kondisi Fisik,udah tepos,Udah tepos kebetulan 
Body Shaming & Kondisi Fisik,aa tepos rata,A aa aku tepos rata :(
Body Shaming & Kondisi Fisik,iya tepos kal gak suka tete gede tang gak merhatiin tete goyang,"iya tepos kal, tapi gak semua suka tete yang gede kok. ada juga tang gak terlalu merhatiin tete yang penting goyangannya enak"
Body Shaming & Kondisi Fisik,rip bokong tepos ggr kursi kereta,"rip bokong, tepos ggr kursi kereta"
Body Shaming & Kondisi Fisik,iya tepos,iya tepos
Body Shaming & Kondisi Fisik,jg ken bokong gede tahes komes cowok dr tepos gaenak duduk alas kasar dikit tok sampe tulang,"Aku jg pengen punya bokong gede tahes komes meskipun cowok, karena dr dulu aku tepos, gaenak duduk di alas kasar dikit kepentok sampe tulang"
Body Shaming & Kondisi Fisik,cowok suka tau dada tepos,Cowok banyak suka tau dada tepos begitu
Body Shaming & Kondisi Fisik,bontot tepos,Bontot tepos
Body Shaming & Kondisi Fisik,asli tepos,jadi aslinya tepos?
Body Shaming & Kondisi Fisik,onyooo mah kebenyet  tepos,ONYOOO ini mah aku kebenyet x ____ x nanti jadi tepos!
Body Shaming & Kondisi Fisik,pas jaman smp misuhin yg bilang sakura beban ujung mah ngeledek tepos,"Pas jaman smp sering misuhin orang yg bilang sakura beban, ujung2nya mah ngeledek tepos"
Body Shaming & Kondisi Fisik,tepos asli ga,tepos yang penting asli ga masalah
Body Shaming & Kondisi Fisik,yg tepos nilai plus iykyk,Justru yg tepos itu ada nilai plusnya. Iykyk
Body Shaming & Kondisi Fisik,nggalah pengaruh baju aja coba kalo bare ngga tepos,Nggalah. Itu pengaruh baju aja. Coba kalo bare pasti ngga tepos
Body Shaming & Kondisi Fisik,si tonggos sang dusta,Si Tonggos sang pendusta
Body Shaming & Kondisi Fisik,lemes banget laki pantes tonggos,"Lemes banget jadi laki, pantes tonggos"
Body Shaming & Kondisi Fisik,lgbt tonggos ompong gitu rey,lgbt tonggos ompong gitu rey
Body Shaming & Kondisi Fisik,gigi udah ga tonggos,Giginya juga udah ga tonggos lagi
Body Shaming & Kondisi Fisik,bener ibu tumbuh gigi tonggos iya gigi yg tonggos yg tonggos pecah jdi bener ga pandang lewat kanak bully an karna remaja gigi berlobang bawa dokter gigi,"bener saja kata ibuku, aku tumbuh dengan gigi tonggos satu, iya gigi yg tonggos satu, dan ada yg tonggos itu pecah jdi bener2 ga enak dipandang, aku melewati masa kanak2 dengan bully an karna itu.. belum lagi masa remaja ada gigi berlobang dan bukannya dibawa ke dokter gigi -"
Body Shaming & Kondisi Fisik,mohan aaf siape sayang nanya cewenya trs cewenya ngasih stiker dino tonggos nih aaf nih aaf haus,"mohan: aaf siape sayang? nanya ke cewenya
trs cewenya ngasih stiker dino tonggos
nih aaf nih aaf kehausan"
Body Shaming & Kondisi Fisik,woiiiiii tonggos jgn cm judul aja lo bacaanjing lo baca isi veda ega ngomong bgtu prestasi atlet indonesia lsg drop kl anjing politikus sdh bawa nama atlit utk jd komoditi politik anjing lo dian tonggos,"Woiiiiii tonggos, jgn cm judul nya aja lo baca,anjing!!!!!
Lo baca isinya, apa ada Veda Ega ngomong bgtu?
Prestasi atlet2 indonesia lsg drop kl anjing2 politikus sdh bawa2 nama atlit utk jd komoditi politik nya.
Anjing lo dian tonggos!!!!!"
Body Shaming & Kondisi Fisik,samaaa kak tonggos beneran insecure parah behel biaya gede mama mas mending sedih jujur gmn lagi,"SAMAAA KAK mana aku tonggos beneran insecure parah, mau behel biaya nya gede mama aku masi mending' sedih jujur tapi gmn lagii"
Body Shaming & Kondisi Fisik,sorry kayak gigi tonggos,sorry tapi kayak gigi tonggos 
Body Shaming & Kondisi Fisik,tonggos,tonggos
Body Shaming & Kondisi Fisik,jawa sih cewe tonggos kotak kek adudu,"lebih ke jawa sih, itu cewe nya tonggos bukan kotak kek adudu"
Body Shaming & Kondisi Fisik,hasil gue dapet kaya gin lepas rugi bgt ajg krn udah tahun emg proses gin gmna sih gigi gue tonggos lingkar rahang kecil gue kabur nunggu progres plis,"tapi hasil yang gue dapet kaya gini, mau aku lepas juga rugi bgt ajg krn udah setahun. ini emg prosesnya gini apa gmna sih, gigi gue sekarang tonggos dan lingkar rahang mengecil. gue harus kabur apa nunggu progres dulu plis"
Body Shaming & Kondisi Fisik,jujur maju bibir tpi jujur ga tonggos loh suerr tpi ini bibir atas tebel jalur gimana bilangnyagitulah pokok,"Jujur majuan bibir, tpi jujur juga aku ga tonggos loh suerr.... tpi ininya bibir atasnya ini tebel dan sedikit keluar jalur, gimana ya bilangnya....gitulah pokoknya"
Body Shaming & Kondisi Fisik,hidung bibir kn aja tonggos,hidung lah  bibirku kn b aja tidak tonggos 
Body Shaming & Kondisi Fisik,bibir haha grgr gigi tonggos,Bibir haha grgr gigi tonggos
Body Shaming & Kondisi Fisik,bikin gebrak kalo sore jelang malem wkwk kesel tp kesini bosen sebel liat muka gigi yg tonggos ih bisa tianlei suka yg,"dia bikin gebrakan kalo sore menjelang malem terus wkwk awal awalnya kesel tp makin kesini bosen, sebel liat mukanya giginya yg tonggos itu juga ih bisa bisanya tianlei suka yg begitu"
Body Shaming & Kondisi Fisik,bagus jirr rapih ga tonggos,Lah ini bagus jirr rapih ga tonggos 
Body Shaming & Kondisi Fisik,otak lu tuh tonggos blokk,otak lu tuh tonggos blokk
Body Shaming & Kondisi Fisik,udh ga dinggep fd pindah trus ngerusuh wkwk gue jd jay ketawa liat org muka aspal,"dia udh ga dinggep di fd lama nya, makanya dia pindah trus ngerusuh disini wkwk gue jd jay juga ketawa liat org muka aspal begitu "
Body Shaming & Kondisi Fisik,muka aspal kuping tutup ompreng,"muka aspal, kupingnya ketutup ompreng"
Body Shaming & Kondisi Fisik,abu jamban al tolol puja bool israhellanggota buzzer hasbara ciri tolol bacot minim literasi muka aspal somplak kw ga tau malu,"Abu jamban al TOLOLI itu pemuja bool israhell,anggota buzzer hasbara.
Ciri2nya :
TOLOL 
BANYAK BACOT
MINIM LITERASI
MUKA ASPAL SOMPLAK KW 13
GA TAU MALU"
Body Shaming & Kondisi Fisik,gitu asmin ismut aja on pagi siang ngga ngeliatin muka aspal mas yebe, kalau gitu sama asmin ismut aja ya yang on nya tiap pagi ke siang supaya ngga ngeliatin muka aspal nya mas yebe
Body Shaming & Kondisi Fisik,muka plastik aja sombong muka tembok muka aspal muka gile muka mmkmuka lu kaya kntql aja tuh,"baru muka plastik aja sombong ,disini dong ada ,muka tembok ,muka aspal ,muka gile ,muka m3m3k,muka lu kaya k0ntQL ,biasa aja tuh"
Body Shaming & Kondisi Fisik,right muka aspal muka monyet muka kampung,Right: Muka Aspal Muka Monyet Muka Kampung
Body Shaming & Kondisi Fisik,nysnyenye nyimeng sono bandingin idol aktor muka aspal lu,Nysnyenye nyimeng sono. Bandingin sama idol aktor. Sama muka aspal lu sini mana
Body Shaming & Kondisi Fisik,muka aspal emang,Muka aspal emang
Body Shaming & Kondisi Fisik,untung ak muka aspal,untung ak muka aspal
Body Shaming & Kondisi Fisik,lu psti asli muka aspal,lu psti aslinya muka aspal
Body Shaming & Kondisi Fisik,udh muka aspal hati iblis,Udh muka aspal hatinya iblis 
Body Shaming & Kondisi Fisik,jabat nkri muka aspal neng kl dibantuin ma gigih terap zakat infaq utk bantu pdhl uud pasal sdh isi mrk pelit utk penting rakyat pajak rakyat cm utk penting mrk kelompok sdr,Pejabat NKRI muka aspal. Malah seneng kl dibantuin ma orang lain. mereka gigih menerapkan zakat infaq katanya utk membantu sesama. Pdhl di UUD 45 pasal 33 sdh jelas isinya. Mrk pelit utk kepentingan rakyat. Pajak rakyat cm utk kepentingan mrk n kelompoknya sdr.
Body Shaming & Kondisi Fisik,hmmmmmm si cecurut udah ukti video si cencorang jokowi yg resmiin aja ni cecurut belaiin dasar muka aspal lu gak tau malu deket gua rebus lu empanan makan lele tetangga,"hmmmmmm si cecurut lagi  , udah begitu banyak m ukti video si cencorang Jokowi yg resmiin , masih aja ni cecurut mau belaiin , dasar muka aspal lu gak tau malu , kalau deket gua rebus lu buat empanan makanan lele tetangga "
Body Shaming & Kondisi Fisik,niat kritisi coba pasang muka asli muka aspal,Kalau memang niat mengkritisi coba pasang muka asli jangan muka aspal.
Body Shaming & Kondisi Fisik,oi muka aspal,OI MUKA ASPAL
Body Shaming & Kondisi Fisik,termul muka aspal,Termul Muka Aspal
Body Shaming & Kondisi Fisik,dah gatau malu rill muka aspal,DIA DAH GATAU MALU RILL MUKA ASPAL
Body Shaming & Kondisi Fisik,dik orangtua laku si anak muka aspal,dari didikan orangtua nya pun terlihat bagaimana kelakuan si anak muka aspal itu
Body Shaming & Kondisi Fisik,burik banget dah,burik banget dah x. 
Body Shaming & Kondisi Fisik,keinget memori kelam pas tayang animenya burik banget gak paham,"Jadi keinget memori kelam, pas tayang animenya BURIK BANGET. Sampai gak paham itu siapa "
Body Shaming & Kondisi Fisik,burik banget,burik banget sekarang
Body Shaming & Kondisi Fisik,kamera sih jujur iya kak beda dikit waktu beli ga burik banget sih kak taraf oke,"Kalau untuk kamera sih sejujurnya iya kak, lebih ke beda dikit sama waktu awal beli tapi ga yang jadi burik banget sih kak masih di taraf oke."
Body Shaming & Kondisi Fisik,burik banget kamera chen,Burik banget kameranya chen
Body Shaming & Kondisi Fisik,palsu iya afiliasi iya burik banget aqua,"Palsu iya, terafiliasi iya. Burik banget aqua"
Body Shaming & Kondisi Fisik,pandang bagus sayang jepret pake samsung burik banget hp,"Pemandangan bagus sayang nya jepretnya pake Samsung A33, jadi burik banget.. hp aku itu juga soalnya "
Body Shaming & Kondisi Fisik,gakkuat burik banget,GAKKUAT BURIK BANGET 
Body Shaming & Kondisi Fisik,mas dewa burik banget ih,Mas Dewa burik banget ih
Body Shaming & Kondisi Fisik,mas sadew burik banget gakuattt,Mas sadew burik banget tadi 144p gakuattt
Body Shaming & Kondisi Fisik,sadewa burik banget ava allah gakuat gw,Sadewa burik banget ava nya YA ALLAH GAKUAT GW.
Body Shaming & Kondisi Fisik,sadewa burik banget anjnwkkakaka,Sadewa burik banget anjnwkkakaka
Body Shaming & Kondisi Fisik,sadewa burik banget,SADEWA KENAPA BURIK BANGET 
Body Shaming & Kondisi Fisik,eh sumpah sumpah sinyal lu burik banget elah,"Eh sumpah sumpah 
@indosatim3
 sinyal lu burik banget elah"
Body Shaming & Kondisi Fisik,kak foto hd banget gin gimana punya burik banget aplikasi tambah,Kak mau tanya ini fotonya bisa jadi hd banget gini caranya gimana ya? Punyaku jadi burik banget  ada aplikasi tambahan?
Body Shaming & Kondisi Fisik,guna setia jnt minhp udah burik banget,"Saya pengguna setia jnt min,hp nya udah burik banget"
Body Shaming & Kondisi Fisik,gw nonton live mpl btr vs ae ga tenang banget kntlllllll sinyal tri burik banget tai udahlah load mulu jing pulak loading,"GW NONTON LIVE MPL BTR VS AE GA TENANG BANGET KNTLLLLLLL, sinyal tri burik banget tai. udahlah 360p, load mulu jing, lama pulak loading nya"
Body Shaming & Kondisi Fisik,burik banget kocak,Burik banget kocak
Body Shaming & Kondisi Fisik,internet burik banget kocaaggg,INTERNET BURIK BANGET YA KOCAAGGG
Body Shaming & Kondisi Fisik,kamera burik banget,Kameranya burik banget
Body Shaming & Kondisi Fisik,cari yg isolate bro biar ga jerawat mudah cerna cari merek puro,"Cari yg isolate bro, biar ga jerawatan dan mudah di cerna. Cari merek PURO."
Body Shaming & Kondisi Fisik,gw ngampus jerawat yaiya sih gak yg gw incer ayo ngampus loh,"gw mau ngampus malah jerawatan?? yaiya sih gak ada yg gw incer cuma, AYOLAH MASA BARU MAU NGAMPUS LOH"
Body Shaming & Kondisi Fisik,banget allah gue udah item jerawat mending sumpah,A BANGET YA ALLAH gue udah item jerawatan lagi  TAPI MENDING A SUMPAH DEMI
Body Shaming & Kondisi Fisik,jerawat yh,jerawatan kali yh
Body Shaming & Kondisi Fisik,jjr aja ges jd nolep gin semenjak jerawatanawalnya emng pgn fokus sekolah msh adaptasi full day school tp lama jerawat ngga kontrol alhasil jd malu rumah,"Jjr aja ya ges. Aku mulai jd nolep gini semenjak jerawatanawalnya emng pgn sekalian fokus sekolah dulu (msh  adaptasi full day school). Tp lama² kok jerawatnya makin ngga terkontrol, alhasil jd malu keluar rumah"
Body Shaming & Kondisi Fisik,minus bikin jerawat mmg sm cepet tua,Minus bikin jerawatan mmg sm cepet tua 
Body Shaming & Kondisi Fisik,ayo makan manis jerawat bareng,Ayo makan manis dan jerawatan bareng
Body Shaming & Kondisi Fisik,jerawat jauh ayahan,"Soalnya jadi jerawatan.
Ya menjauh lah ayah2an."
Body Shaming & Kondisi Fisik,kalo telat haid ngaruh ga sih jerawat yg,kalo telat haid ngaruh ga sih ke jerawatan yg makin lama makin banyak??
Body Shaming & Kondisi Fisik,wkwkwk manis moodboster wlaupun bkin jerawat,WKWKWK manis adalah moodboster wlaupun bkin jerawatan
Body Shaming & Kondisi Fisik,kalo jerawat gin pake makeup ngecrack terusss huffttt kalo gak pake makeup merah bgt muka kaya abis rebus,Kalo lagi jerawatan gini pake makeup ngecrack terusss huffttt kalo gak pake makeup merah bgt mukanya kaya abis di rebus 
Body Shaming & Kondisi Fisik,mel bb kg ges bego gw tuh fokus muka gimana biar muka tetep bening ngga kusam ngga jerawat gw nata dar konsul dokter facial bersihin komedo doang ges ngerawat badan,"agak kumel BB 57 kg terus ya ges bego-nya gw tuh terlalu fokus sama muka gimana caranya biar ini muka tetep bening ngga kusam ngga jerawatan, gw sering ke Nata*** buat sekedar konsul dokter dan facial buat bersihin komedo doang tapi ternyata ya ges ngerawat seluruh badan jauh-"
Body Shaming & Kondisi Fisik,salah bikin happy tuh udah ga jerawat bekas ga tumbuh jerawat,"Salah satu yang paling bikin happy tuh, udah ga jerawatan lagi, meskipun bekasnya masih ada, yang penting ga tumbuh jerawat lagi"
Body Shaming & Kondisi Fisik,ngomong gak kasar gak cabul omong sopan tmn dandan sma baju aja wajah aja sempet jerawat parah tpi tu bawaanya positif vibes bngt ngobrol gak ngomongin org tpi halus bgt kabur,"Yang ngomong gak kasar & gak cabul, omongannya sopan. Aku ada tmn, dia dandanan sma bajunya b aja .. wajahnya juga b aja, malah sempet jerawatan parah. Tpi dia tu bawaanya positif vibes bngt, ngobrol sama dia enak, dan dia gak pernah mau ngomongin org tpi halus bgt cara kaburnya."
Body Shaming & Kondisi Fisik,hmmm jerawat tanda,"Hmmm jerawatan, tandanya"
Body Shaming & Kondisi Fisik,kalo daerah pipi cenderung kering dahi alis jerawat hidung berkomedo st combi kah,"kalo semisal daerah pipi cenderung kering, sedangkan dahi terutama bagian antara alis sering jerawatan dan hidungku berkomedo, itu termasuk st combi kah?"
Body Shaming & Kondisi Fisik,gak jerawat yah bang,Gak pernah jerawatan yah bang?
Body Shaming & Kondisi Fisik,apas kesel kalo dateng jerawat,apasi kesel kalo mau dateng bulan pasti jerawatan
Body Shaming & Kondisi Fisik,jaga sehat rambut tipis rambut lo liat tua,"Jaga kesehatan rambut, makin tipis rambut lo makin keliatan tua"
Body Shaming & Kondisi Fisik,diliatliat gue emang kaya bapakbapak pantes strangers suka manggil gue either gue wibawa liat tua kaya alas deh wowkwkwkk,"diliat-liat gue emang kaya bapak-bapak, pantes strangers suka manggil gue pak either karena gue berwibawa atau keliatan tua. tapi kayanya alasan kedua deh wowkwkwkk"
Body Shaming & Kondisi Fisik,wajah ga liat tua loh,Tapi wajahnya ga keliatan tua loh
Body Shaming & Kondisi Fisik,yah liat tua,Yah keliatan tua nya
Body Shaming & Kondisi Fisik,mudik bahas nikah sodaraku bilang gk liat tua bjir kusamber tua yah singgung nih udah panggil uwak,"asal mudik selain pembahasan nikah, sodara2ku selalu bilang aku gk keliatan tua bjir langsung kusamber ""aku memang belum tua yah, tersinggung nih"" walaupun udah dipanggil uwak"
Body Shaming & Kondisi Fisik,wajar banget kaaaku aja pakai eyeliner tebal banget biat gak liat tua pakai shade sesuai sih ngaruh bangettt,"wajar banget kok kaa,aku aja dulu pertama pakai eyeliner tebal banget

biat gak keliatan tua pakai shade yang sesuai sih soalnya itu ngaruh bangettt"
Body Shaming & Kondisi Fisik,jujur jg prnah make up knp liat tua gutu yaa,jujur aku jg prnah make up knp jadi keliatan tua gutu yaa..
Body Shaming & Kondisi Fisik,wkwkwk liat tua nih,Wkwkwk waduh keliatan tua nya nih
Body Shaming & Kondisi Fisik,umur liat tua muda,umur itu jelas keliatan tua dan muda lah
Body Shaming & Kondisi Fisik,wajarr liat tua make up nderr liat tua tipe make upnya cocok coba cari preferensi tipe make up cocok bentuk wajah yaa,"wajarr, keliatan tua karena kamu baru mulai make up nderr. keliatan tua juga karena mungkin tipe make upnya kurang cocok sama kamu. coba cari preferensi tipe make up yang cocok sama bentuk wajah kamu yaa"
Body Shaming & Kondisi Fisik,kayak nyokap liat gua dah liat tua gua dblg kaya nene nene pas blonde pdhl bagus banget cok,"kayaknya ini yang tiap nyokap liat gua dah keliatan tua, gua selalu dblg kaya nene nene pas blonde pdhl bagus banget cok"
Body Shaming & Kondisi Fisik,gak wajar bikin biar abang liat tua gak tau singkat gen alpha,"Gak wajar, kamu bikin2 sendiri biar abang keliatan tua kan gak tau singkatan2 gen alpha"
Body Shaming & Kondisi Fisik,main ku waktu sma liat tua,"Mainan ku waktu SMA, jadi keliatan tua nya "
Body Shaming & Kondisi Fisik,palestine udah acak liat tua tp tau sejarah,Palestine udah d acak2 sejak 1948. Keliatan tua tp g tau sejarah
Body Shaming & Kondisi Fisik,gatau gw liat tua asfff,GATAU MUNGKIN GW KELIATAN TUA ASFFF?.??.?.?.?
Body Shaming & Kondisi Fisik,kayak by tulis ga liat tua tua banget tp bangga km kalo tua tua cocok demgan abah jonglee,Padahal sini kayak aku by tulis 1000+ ga keliatan tua. Tapi TUA BANGET. Tp bangga dong km kalo tua semakin tua semakin cocok demgan Abah Jonglee
Body Shaming & Kondisi Fisik,semenjak madrid liat gak ber kharisma liat tua,"semenjak di Madrid jadi keliatan gak ber kharisma lagi, keliatan tua"
Body Shaming & Kondisi Fisik,objektif tidak argumen kontruksi dasar kalo udah cacat informasi asbun kek argumen lu argumen objektif gabisa debat ts temu komparasi format plek sederhana lu gagal paham heran,"objektif tidaknya sebuah argumen dilihat dari kontruksi dasarnya dulu. kalo dari awal udah cacat informasi itu baru asbun kek argumen lu. argumen objektif bukan berarti gabisa didebat, dan ts menemukan komparasi bukan format plek. hal sesederhana ini pun lu gagal paham, heran "
Body Shaming & Kondisi Fisik,yaampun analogi cacat gitu kasih analogi yg beneran ngegambarin utuh bos utus karyawan karyawannya bos yg hendak utus bos karyawan liat analogi salah,"yaampun, mana ada analogi tapi cacat gitu. kasihlah analogi yg beneran bisa ngegambarin seutuhnya. 

bagaimana bisa bos mengutus karyawan tapi karyawannya, bos itu sendiri. terus yg punya kehendak mengutus ini jadinya bos apa karyawan:(

dari sini keliatan, analogimu salah"
Body Shaming & Kondisi Fisik,game of thrones yg inses tp gak cacat,di Game of Thrones banyak yg inses tp kok gak pada cacat ya
Body Shaming & Kondisi Fisik,gak bikin cacat,kenapa gak dibikin cacat dulu?
Body Shaming & Kondisi Fisik,data pdhs studi kini population council bmj tunjuk tingkat nikah sepupu pakistan tinggi dunia first cousins tingkat risiko lain genetik cacat lahir,"Ya, sebagian besar benar. Data PDHS 2017-2018 & studi terkini (seperti dari Population Council & BMJ 2024) tunjukkan tingkat pernikahan sepupu di Pakistan sekitar 60-65% (tertinggi dunia), terutama first cousins. Ini memang tingkatkan risiko kelainan genetik, cacat lahir, &"
Body Shaming & Kondisi Fisik,cacat logika,Cacat logika.
Body Shaming & Kondisi Fisik,ah ketemu model gw hancur tempurung kaki motor gw bikin cacat umur hidup biar ga tingkah,"Ah ketemu model gw hancur tempurung kaki pemotor ini, gw bikin cacat seumur hidup biar ga banyak tingkah!"
Body Shaming & Kondisi Fisik,babi bini cacat otak mcm ni,Apa babi dapat bini cacat otak mcm ni
Body Shaming & Kondisi Fisik,cacat kekal si rempit pampas puluh ribu,Cacat kekal si rempit dapat pampasan puluh ribu.
Body Shaming & Kondisi Fisik,kakeknenek sepupu anjur keluarga ga tetangga anak normal anak maaf cacat,"Satu kakek/nenek = sepupuan?
Boleh, tapi tidak dianjurkan.
Keluargaku ga ada. 
Tapi tetangga ada.
Anak pertama normal, anak kedua (mohon maaf) cacat."
